Product Name,rating,Number of Reviews,Price,Discount
"HP Victus 16"" Gaming Laptop - Mica Silver (Intel Core i7-13700H/1TB SSD/16GB RAM/GeForce RTX 4060 /Win 11)",4,(30 Reviews),$1599.99,SAVE $300
"Open Box - HP Pavilion Plus 14"" Laptop (Intel Evo Core Ultra 5 125H/1TB SSD/16GB RAM)",4.6,(5 Reviews),$899.99,SAVE $300
"Open Box - Lenovo Yoga 6 13.3"" Touchscreen 2-in-1 Laptop - Dark Teal (AMD Ryzen 5 7530U/512GB SSD/16GB RAM)",3.33,(3 Reviews),$799.97,SAVE $200
"Open Box - Dell G15 15.6"" Gaming Laptop (Intel Core i7 13650HX/512GB SSD/16GB RAM/GeForce RTX 4060)",0,(0 Reviews),$1199.97,SAVE $200
"Samsung Galaxy Book5 Pro 360 16"" Touchscreen CoPilot+ PC Laptop (Intel Core Ultra 7 - 256V/16GB RAM/1TB SSD)",3,(4 Reviews),$2199.98,SAVE $300
"Open Box - Dell Inspiron 16"" Touchscreen 2-in-1 Laptop - Silver (Intel Core i7-1360P/512GB SSD/16GB RAM/Win11)",1,(1 Review),$799.97,SAVE $300
"Open Box - ASUS TUF Gaming F15 15.6"" Gaming Laptop (Intel Core i7-13620H/1TB SSD/16GB RAM/GeForce RTX 4060)",0,(0 Reviews),$1349.99,SAVE $350
Open Box - ASUS Vivobook Go 15 15.6” Laptop - Mixed Black (AMD Ryzen 3 7320U/ 512GB SSD / 8GB RAM),4,(3 Reviews),$399.99,SAVE $190
"Open Box - ASUS ROG Strix G15 15.6"" Gaming Laptop -Eclipse Grey (AMD Ryzen 7 6800H/8GB RAM/512GB SSD/GeForce RTX 3050)",0,(0 Reviews),$849.99,SAVE $500
"Open Box - Lenovo LOQ 15.6"" Gaming Laptop - Storm Grey (Intel i7-13700H/512GB SSD/16GB RAM/GeForce RTX 4050)",0,(0 Reviews),$1099.97,SAVE $50
"Open Box - Apple MacBook Air 15"" w/ Touch ID (2024) - Space Grey (Apple M3 Chip / 256GB SSD / 8GB RAM) - English",0,(0 Reviews),$1199.95,SAVE $300
"Open Box - Alienware m15 15.6"" Gaming Laptop (Intel Core i7-11800H/1TB SSD/16GB RAM/RTX 3070)",3,(1 Review),$1499.97,SAVE $700
"Samsung Galaxy Book4 360 15.6"" Touchscreen 2-in-1 Laptop - Grey (Intel Core 5 120U/256GB SSD/16GB RAM)",2.2,(5 Reviews),$999.97,SAVE $600
"Open Box - HP 15.6"" Laptop - Natural Silver (Intel Core Ultra 5 125H/1TB SSD/16GB RAM/Windows 11 Home)",0,(0 Reviews),$699.99,SAVE $250
"Open Box - Acer Chromebook Plus 15.6"" Laptop - Silver (Intel Core i3-1215U/256GB/8GB RAM/ChromeOS)",0,(0 Reviews),$329.99,SAVE $170
